,CPU_Tick,Task_Id,Abs_Deadline,Rem_WCET,Rel_Deadline,Ch_Rem_WCET,Arrival_timeDiff,IsDeadlineChanged,IsWCETChanged,IsArrivalTimeChanged,IsTaskPropertyChanged,IsModeChanged1,IsModeChanged2
0,1780573696113460,4063232,524888618658949,1200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1780573700186004,4063233,524888620660730,1440000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1780573705073285,4063234,524888622661326,1680000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1780573710773740,4063235,524888624662090,1920000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1780573717288850,4063236,524888626662797,2160000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1780573724619586,4063237,524888628663581,2400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1780573730014029,4063232,524888628658949,1200000,10000000.0,0.0,33900569.0,0.0,0.0,33900569.0,0.0,0.0,0.0
7,1780573734085935,4063237,524888628663581,809421,0.0,1590579.0,9466349.0,0.0,0.0,9466349.0,0.0,0.0,0.0
8,1780573736973046,4063238,524888630664339,2640000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1780573745934077,4063233,524888632660730,1440000,12000000.0,0.0,45748073.0,0.0,0.0,45748073.0,0.0,0.0,0.0
10,1780573750818725,4063239,524888632664984,2880000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1780573760590056,4063234,524888636661326,1680000,14000000.0,0.0,55516771.0,0.0,0.0,55516771.0,0.0,0.0,0.0
12,1780573766290261,4063232,524888638658949,1200000,10000000.0,0.0,36276232.0,0.0,0.0,2375663.0,0.0,0.0,0.0
13,1780573770362983,4063235,524888640662090,1920000,16000000.0,0.0,59589243.0,0.0,0.0,59589243.0,0.0,0.0,0.0
14,1780573776877271,4063236,524888644662797,2160000,18000000.0,0.0,59588421.0,0.0,0.0,59588421.0,0.0,0.0,0.0
15,1780573777509807,4063233,524888644660730,1440000,12000000.0,0.0,31575730.0,0.0,0.0,14172343.0,0.0,0.0,0.0
